Longitud,Latitud,Grupo
-114.7045617,30.83601048,2.1
-114.7016309,30.82108822,2.1
-114.695767,30.81726405,2.1
-114.6991785,30.79647102,2.1
-114.6999436,30.77239389,2.1
-114.6983389,30.76019845,2.1
-114.6935985,30.75525894,2.1
-114.6917,30.744,2.1
-114.7045629,30.71905826,2.1
-114.7041006,30.70371855,2.1
-114.7004168,30.69957466,2.1
-114.6941588,30.6773602,2.1
-114.6935409,30.67098717,2.1
-114.696743,30.65643174,2.1
-114.6989299,30.63586009,2.1
-114.6953466,30.62278312,2.1
-114.690916,30.61743292,2.1
-114.6766912,30.58715395,2.1
-114.6655502,30.57824711,2.1
-114.6590272,30.56546475,2.1
-114.6522932,30.55708315,2.1
-114.6515691,30.5449914,2.1
-114.6487648,30.53822798,2.1
-114.6489546,30.52738337,2.1
-114.6341468,30.50112029,2.1
-114.6307274,30.48870988,2.1
-114.6324978,30.47476857,2.1
-114.638661,30.45868786,2.1
-114.6375021,30.43836065,2.1
-114.6327722,30.42960249,2.1
-114.6312527,30.4199176,2.1
-114.6370962,30.40082255,2.1
-114.6354727,30.39559451,2.1
-114.6416228,30.38538223,2.1
-114.6431631,30.37083706,2.1
-114.6352689,30.36416928,2.1
-114.6369599,30.35792803,2.1
-114.6348499,30.35019703,2.1
-114.6418857,30.34903477,2.1
-114.6397041,30.34036662,2.1
-114.6439606,30.33771709,2.1
-114.6440391,30.32509045,2.1
-114.6484766,30.30567052,2.1
-114.6526735,30.29582217,2.1
-114.6522293,30.28971323,2.1
-114.6562916,30.28518575,2.1
-114.656211,30.27876545,2.1
-114.6422553,30.26713412,2.1
-114.6406168,30.25802995,2.1
-114.6508765,30.24427929,2.1
-114.6505404,30.22530317,2.1
-114.6559903,30.21485026,2.1
-114.6646351,30.20675185,2.1
-114.6688706,30.19825235,2.1
-114.6635104,30.18454825,2.1
-114.6518119,30.17391825,2.1
-114.6501229,30.16618463,2.1
-114.6409756,30.15344175,2.1
-114.6389999,30.14450065,2.1
-114.635394,30.14258174,2.1
-114.6337721,30.12715508,2.1
-114.6252897,30.11790003,2.1
-114.6092526,30.11214463,2.1
-114.6039082,30.10798782,2.1
-114.5972692,30.08871517,2.1
-114.5845283,30.07414562,2.1
-114.5827604,30.06835603,2.1
-114.5838871,30.05190354,2.1
-114.5781514,30.04458286,2.1
-114.5763117,30.03254697,2.1
-114.5659221,30.02624612,2.1
-114.5670512,30.02158891,2.1
-114.5645363,30.01000222,2.1
-114.5526424,30.00279537,2.1
-114.5457464,29.98904465,2.1
-114.5387425,29.98276066,2.1
-114.5408306,29.97851155,2.1
-114.534486,29.96812154,2.1
-114.5054272,29.95568643,2.1
-114.4942519,29.95283874,2.1
-114.4827859,29.94320205,2.1
-114.4733273,29.91567983,2.1
-114.4629004,29.90983888,2.1
-114.4392711,29.90780574,2.1
-114.4344581,29.90931292,2.1
-114.4250118,29.901392,2.1
-114.4228825,29.89698629,2.1
-114.4129841,29.89068738,2.1
-114.4092977,29.87892697,2.1
-114.4104296,29.86774188,2.1
-114.4150817,29.85725458,2.1
-114.4113095,29.84685211,2.1
-114.4015755,29.83134108,2.1
-114.3806,29.8211,2.1
-114.3784,29.8139,2.1
-114.3857892,29.80982483,2.1
-114.3938248,29.80949105,2.1
-114.396203,29.79464686,2.1
-114.3926601,29.78457009,2.1
-114.3859907,29.77708046,2.1
-114.3699015,29.76971875,2.1
-114.363652,29.77197305,2.1
-114.3545967,29.76870132,2.1
-114.3461182,29.75926797,2.1
-114.3427987,29.7467496,2.1
-114.3368951,29.74405846,2.1
-114.3199169,29.74113177,2.1
-114.3009805,29.74111174,2.1
-114.2942895,29.74278877,2.1
-114.2880961,29.75279271,2.1
-114.2931883,29.76035186,2.1
-114.2840663,29.76914992,2.1
-114.2713442,29.77203626,2.1
-114.2647758,29.76796612,2.1
-114.2585606,29.75984785,2.1
-114.2432459,29.76273292,2.1
-114.2297979,29.75062665,2.1
-114.2161791,29.7444974,2.1
-114.2100935,29.74487374,2.1
-114.2040825,29.73992748,2.1
-114.2004974,29.72787395,2.1
-114.1904356,29.72001498,2.1
-114.1813743,29.70808051,2.1
-114.167053,29.70126052,2.1
-114.1592839,29.69106195,2.1
-114.1488942,29.69388215,2.1
-114.1429099,29.69012372,2.1
-114.1417601,29.68421611,2.1
-114.1333524,29.67697245,2.1
-114.1323141,29.67193832,2.1
-114.1186721,29.66329477,2.1
-114.1109336,29.65329465,2.1
-114.1012024,29.64998157,2.1
-114.0904356,29.64212408,2.1
-114.072277,29.63538882,2.1
-114.0634272,29.62858986,2.1
-114.0595473,29.61715797,2.1
-114.0458348,29.59606317,2.1
-114.0311068,29.59379268,2.1
-114.0227294,29.58139072,2.1
-114.0090271,29.57664291,2.1
-113.9954294,29.5780536,2.1
-113.9801185,29.56672638,2.1
-113.9738466,29.55610182,2.1
-113.9497447,29.53384115,2.1
-113.9404685,29.52277085,2.1
-113.9304258,29.51987078,2.1
-113.9282564,29.512777,2.1
-113.9161856,29.50539766,2.1
-113.8969186,29.48483452,2.1
-113.8809385,29.47769892,2.1
-113.864669,29.46587417,2.1
-113.8444928,29.45733257,2.1
